systemId,seconds,corePowerMw,sgALevelPercent,turbineElectricMw
unit-1,0,2890.00,55.00,935.00
unit-1,5,3032.80,55.01,721.71
unit-1,10,3032.80,55.02,687.18
unit-1,15,3032.80,55.03,702.58
unit-1,20,3032.80,55.03,733.27
unit-1,25,3032.80,55.04,767.03
unit-1,30,3032.80,55.05,784.65
unit-1,35,3032.80,55.06,791.07
unit-1,40,3032.80,55.06,793.41
unit-1,45,3032.80,55.07,794.26
unit-1,50,3032.80,55.08,794.57
unit-1,55,3032.80,55.08,794.69
unit-1,60,3032.80,55.09,794.73
unit-1,65,3032.80,55.10,794.74
unit-1,70,3032.80,55.10,794.75
unit-1,75,3032.80,55.11,794.75
unit-1,80,3032.80,55.12,794.75
unit-1,85,3032.80,55.13,794.75
unit-1,90,3032.80,55.13,794.75
unit-1,95,3032.80,55.14,794.75
unit-1,100,3032.80,55.15,794.75
unit-1,105,3032.80,55.15,794.75
unit-1,110,3032.80,55.16,794.75
unit-1,115,3032.80,55.17,794.75
unit-1,120,3032.80,55.17,794.75
unit-1,125,3032.80,55.18,794.75
unit-1,130,3032.80,55.19,794.75
unit-1,135,3032.80,55.20,794.75
unit-1,140,3032.80,55.20,794.75
unit-1,145,3032.80,55.21,794.75
unit-1,150,3032.80,55.22,794.75
unit-1,155,3032.80,55.22,794.75
unit-1,160,3032.80,55.23,794.75
unit-1,165,3032.80,55.24,794.75
unit-1,170,3032.80,55.24,794.75
unit-1,175,3032.80,55.25,794.75
unit-1,180,3032.80,55.26,794.75
unit-1,185,3032.80,55.27,794.75
unit-1,190,3032.80,55.27,794.75
unit-1,195,3032.80,55.28,794.75
unit-1,200,3032.80,55.29,794.75
unit-1,205,3032.80,55.29,794.75
unit-1,210,3032.80,55.30,794.75
unit-1,215,3032.80,55.31,794.75
unit-1,220,3032.80,55.31,794.75
unit-1,225,3032.80,55.32,794.75
unit-1,230,3032.80,55.33,794.75
unit-1,235,3032.80,55.34,794.75
unit-1,240,3032.80,55.34,794.75
unit-1,245,3032.80,55.35,794.75
unit-1,250,3032.80,55.36,794.75
unit-1,255,3032.80,55.36,794.75
unit-1,260,3032.80,55.37,794.75
unit-1,265,3032.80,55.38,794.75
unit-1,270,3032.80,55.38,794.75
unit-1,275,3032.80,55.39,794.75
unit-1,280,3032.80,55.40,794.75
unit-1,285,3032.80,55.41,794.75
unit-1,290,3032.80,55.41,794.75
unit-1,295,3032.80,55.42,794.75
unit-1,300,3032.80,55.43,794.75
unit-2,0,2890.00,55.00,935.00
unit-2,5,3032.80,55.01,721.71
unit-2,10,3032.80,55.02,687.18
unit-2,15,3032.80,55.03,702.58
unit-2,20,3032.80,55.03,733.27
unit-2,25,3032.80,55.04,767.03
unit-2,30,3032.80,55.05,784.65
unit-2,35,3032.80,55.06,791.07
unit-2,40,3032.80,55.06,793.41
unit-2,45,3032.80,55.07,794.26
unit-2,50,3032.80,55.08,794.57
unit-2,55,3032.80,55.08,794.69
unit-2,60,3032.80,55.09,794.73
unit-2,65,3032.80,55.10,794.74
unit-2,70,3032.80,55.10,794.75
unit-2,75,3032.80,55.11,794.75
unit-2,80,3032.80,55.12,793.87
unit-2,85,3032.80,55.13,770.77
unit-2,90,3032.80,55.14,737.75
unit-2,95,3032.80,55.15,706.98
unit-2,100,3032.80,55.16,681.51
unit-2,105,3032.80,55.18,661.39
unit-2,110,3032.80,55.19,645.82
unit-2,115,3032.80,55.21,633.89
unit-2,120,3032.80,55.22,624.78
unit-2,125,3032.80,55.24,617.86
unit-2,130,3032.80,55.26,612.59
unit-2,135,3032.80,55.27,608.60
unit-2,140,3032.80,55.29,605.57
unit-2,145,3032.80,55.31,603.27
unit-2,150,3032.80,55.32,601.52
unit-2,155,3032.80,55.34,600.20
unit-2,160,3032.80,55.36,599.20
unit-2,165,3032.80,55.37,598.44
unit-2,170,3032.80,55.39,597.86
unit-2,175,3032.80,55.41,597.43
unit-2,180,3032.80,55.42,597.10
unit-2,185,3032.80,55.44,596.84
unit-2,190,3032.80,55.46,596.66
unit-2,195,3032.80,55.47,596.51
unit-2,200,3032.80,55.49,596.40
unit-2,205,3032.80,55.51,596.32
unit-2,210,3032.80,55.52,596.26
unit-2,215,3032.80,55.54,596.21
unit-2,220,3032.80,55.56,596.17
unit-2,225,3032.80,55.58,596.15
unit-2,230,3032.80,55.59,596.13
unit-2,235,3032.80,55.61,596.11
unit-2,240,3032.80,55.63,596.10
unit-2,245,3032.80,55.64,596.09
unit-2,250,3032.80,55.66,596.08
unit-2,255,3032.80,55.68,596.08
unit-2,260,3032.80,55.69,596.07
unit-2,265,3032.80,55.71,596.07
unit-2,270,3032.80,55.73,596.07
unit-2,275,3032.80,55.75,596.07
unit-2,280,3032.80,55.76,596.07
unit-2,285,3032.80,55.78,596.07
unit-2,290,3032.80,55.80,596.06
unit-2,295,3032.80,55.81,596.06
unit-2,300,3032.80,55.83,596.06
unit-3,0,2890.00,55.00,935.00
unit-3,5,3032.80,55.01,721.71
unit-3,10,3032.80,55.02,687.18
unit-3,15,3032.80,55.03,702.58
unit-3,20,3032.80,55.03,733.27
unit-3,25,3032.80,55.04,767.03
unit-3,30,3032.80,55.05,784.65
unit-3,35,3032.80,55.06,791.07
unit-3,40,3032.80,55.06,793.41
unit-3,45,3032.80,55.07,794.26
unit-3,50,3032.80,55.08,794.57
unit-3,55,3032.80,55.08,794.69
unit-3,60,3032.80,55.09,794.73
unit-3,65,3032.80,55.10,794.74
unit-3,70,3032.80,55.10,794.75
unit-3,75,3032.80,55.11,794.75
unit-3,80,3032.80,55.12,794.75
unit-3,85,3032.80,55.13,794.75
unit-3,90,3032.80,55.13,794.75
unit-3,95,3032.80,55.14,794.75
unit-3,100,3032.80,55.15,794.75
unit-3,105,3032.80,55.15,794.75
unit-3,110,3032.80,55.16,794.75
unit-3,115,3032.80,55.17,794.75
unit-3,120,3032.80,55.17,794.75
unit-3,125,3032.80,55.18,794.75
unit-3,130,3032.80,55.19,794.75
unit-3,135,3032.80,55.20,794.75
unit-3,140,3032.80,55.20,793.94
unit-3,145,3032.80,55.21,771.01
unit-3,150,3032.80,55.22,737.98
unit-3,155,3032.80,55.22,707.17
unit-3,160,3032.80,55.23,681.66
unit-3,165,3032.80,55.24,661.50
unit-3,170,3032.80,55.24,645.90
unit-3,175,3032.80,55.25,633.95
unit-3,180,3032.80,55.26,624.83
unit-3,185,3032.80,55.27,617.89
unit-3,190,3032.80,55.27,612.62
unit-3,195,3032.80,55.28,608.62
unit-3,200,3032.80,55.29,605.58
unit-3,205,3032.80,55.29,603.28
unit-3,210,3032.80,55.30,601.53
unit-3,215,3032.80,55.31,600.21
unit-3,220,3032.80,55.31,599.20
unit-3,225,3032.80,55.32,598.44
unit-3,230,3032.80,55.33,597.87
unit-3,235,3032.80,55.34,597.43
unit-3,240,3032.80,55.34,597.10
unit-3,245,3032.80,55.35,596.85
unit-3,250,3032.80,55.36,596.66
unit-3,255,3032.80,55.36,596.51
unit-3,260,3032.80,55.37,596.40
unit-3,265,3032.80,55.38,596.32
unit-3,270,3032.80,55.38,596.26
unit-3,275,3032.80,55.39,596.21
unit-3,280,3032.80,55.40,596.17
unit-3,285,3032.80,55.41,596.15
unit-3,290,3032.80,55.41,596.13
unit-3,295,3032.80,55.42,596.11
unit-3,300,3032.80,55.43,596.10
unit-4,0,2890.00,55.00,935.00
unit-4,5,3032.80,55.01,721.71
unit-4,10,3032.80,55.02,687.18
unit-4,15,3032.80,55.03,702.58
unit-4,20,3032.80,55.03,733.27
unit-4,25,3032.80,55.04,767.03
unit-4,30,3032.80,55.05,784.65
unit-4,35,3032.80,55.06,791.07
unit-4,40,3032.80,55.06,793.41
unit-4,45,3032.80,55.07,794.26
unit-4,50,3032.80,55.08,794.57
unit-4,55,3032.80,55.08,794.69
unit-4,60,3032.80,55.09,794.73
unit-4,65,3032.80,55.10,794.74
unit-4,70,3032.80,55.10,794.75
unit-4,75,3032.80,55.11,794.75
unit-4,80,3032.80,55.12,794.75
unit-4,85,3032.80,55.13,794.75
unit-4,90,3032.80,55.13,794.75
unit-4,95,3032.80,55.14,794.75
unit-4,100,3032.80,55.15,794.75
unit-4,105,3032.80,55.15,794.75
unit-4,110,3032.80,55.16,794.75
unit-4,115,3032.80,55.17,794.75
unit-4,120,3032.80,55.17,794.75
unit-4,125,3032.80,55.18,794.75
unit-4,130,3032.80,55.19,794.75
unit-4,135,3032.80,55.20,794.75
unit-4,140,3032.80,55.20,794.75
unit-4,145,3032.80,55.21,794.75
unit-4,150,3032.80,55.22,794.75
unit-4,155,3032.80,55.22,794.75
unit-4,160,3032.80,55.23,794.75
unit-4,165,3032.80,55.24,794.75
unit-4,170,3032.80,55.24,794.75
unit-4,175,3032.80,55.25,794.75
unit-4,180,3032.80,55.26,794.75
unit-4,185,3032.80,55.26,794.75
unit-4,190,3032.80,55.25,794.75
unit-4,195,3032.80,55.24,794.75
unit-4,200,3032.80,55.23,794.75
unit-4,205,3032.80,55.22,794.75
unit-4,210,3032.80,55.21,794.75
unit-4,215,3032.80,55.21,794.75
unit-4,220,3032.80,55.20,794.75
unit-4,225,3032.80,55.19,794.75
unit-4,230,3032.80,55.18,794.75
unit-4,235,3032.80,55.17,794.75
unit-4,240,3032.80,55.16,794.75
unit-4,245,3032.80,55.15,794.75
unit-4,250,3032.80,55.14,794.75
unit-4,255,3032.80,55.13,794.75
unit-4,260,3032.80,55.12,794.75
unit-4,265,3032.80,55.11,794.75
unit-4,270,3032.80,55.10,794.75
unit-4,275,3032.80,55.09,794.75
unit-4,280,3032.80,55.08,794.75
unit-4,285,3032.80,55.07,794.75
unit-4,290,3032.80,55.06,794.75
unit-4,295,3032.80,55.05,794.75
unit-4,300,3032.80,55.04,794.75
unit-5,0,2890.00,55.00,935.00
unit-5,5,3032.80,55.01,721.71
unit-5,10,3032.80,55.02,687.18
unit-5,15,3032.80,55.03,702.58
unit-5,20,3032.80,55.03,733.27
unit-5,25,3032.80,55.04,767.03
unit-5,30,3032.80,55.05,784.65
unit-5,35,3032.80,55.06,791.07
unit-5,40,3032.80,55.06,793.41
unit-5,45,3032.80,55.07,794.26
unit-5,50,3032.80,55.08,794.57
unit-5,55,3032.80,55.08,794.69
unit-5,60,3032.80,55.09,794.73
unit-5,65,3032.80,55.10,794.74
unit-5,70,3032.80,55.10,794.75
unit-5,75,3032.80,55.11,794.75
unit-5,80,3032.80,55.12,794.75
unit-5,85,3032.80,55.13,794.75
unit-5,90,3032.80,55.13,690.12
unit-5,95,3032.80,55.14,392.95
unit-5,100,3032.80,55.16,284.73
unit-5,105,3032.80,55.17,245.32
unit-5,110,3032.80,55.18,230.97
unit-5,115,3032.80,55.19,225.74
unit-5,120,3032.80,55.20,223.84
unit-5,125,3032.80,55.21,223.15
unit-5,130,3032.80,55.23,222.89
unit-5,135,3032.80,55.24,222.80
unit-5,140,3032.80,55.25,222.77
unit-5,145,3032.80,55.26,222.76
unit-5,150,3032.80,55.27,222.75
unit-5,155,3032.80,55.29,222.75
unit-5,160,3032.80,55.30,222.75
unit-5,165,3032.80,55.31,222.75
unit-5,170,3032.80,55.32,222.75
unit-5,175,3032.80,55.33,222.75
unit-5,180,3032.80,55.34,222.75
unit-5,185,3032.80,55.36,222.75
unit-5,190,3032.80,55.37,222.75
unit-5,195,3032.80,55.38,222.75
unit-5,200,3032.80,55.39,222.75
unit-5,205,3032.80,55.40,222.75
unit-5,210,3032.80,55.41,222.75
unit-5,215,3032.80,55.43,222.75
unit-5,220,3032.80,55.44,222.75
unit-5,225,3032.80,55.45,222.75
unit-5,230,3032.80,55.46,222.75
unit-5,235,3032.80,55.47,222.75
unit-5,240,3032.80,55.48,222.75
unit-5,245,3032.80,55.50,222.75
unit-5,250,3032.80,55.51,222.75
unit-5,255,3032.80,55.52,222.75
unit-5,260,3032.80,55.53,222.75
unit-5,265,3032.80,55.54,222.75
unit-5,270,3032.80,55.55,222.75
unit-5,275,3032.80,55.57,222.75
unit-5,280,3032.80,55.58,222.75
unit-5,285,3032.80,55.59,222.75
unit-5,290,3032.80,55.60,222.75
unit-5,295,3032.80,55.61,222.75
unit-5,300,3032.80,55.62,222.75
unit-6,0,2890.00,55.00,935.00
unit-6,5,3032.80,55.01,721.71
unit-6,10,3032.80,55.02,687.18
unit-6,15,3032.80,55.03,702.58
unit-6,20,3032.80,55.03,733.27
unit-6,25,3032.80,55.04,767.03
unit-6,30,3032.80,55.05,784.65
unit-6,35,3032.80,55.06,791.07
unit-6,40,3032.80,55.06,793.41
unit-6,45,3032.80,55.07,794.26
unit-6,50,3032.80,55.08,794.57
unit-6,55,3032.80,55.08,794.69
unit-6,60,3032.80,55.09,794.73
unit-6,65,3032.80,55.10,794.74
unit-6,70,3032.80,55.10,794.75
unit-6,75,3032.80,55.11,794.75
unit-6,80,3032.80,55.12,794.75
unit-6,85,3032.80,55.13,794.75
unit-6,90,3032.80,55.13,794.75
unit-6,95,3032.80,55.14,794.75
unit-6,100,3032.80,55.15,794.75
unit-6,105,3032.80,55.15,794.75
unit-6,110,3032.80,55.16,794.75
unit-6,115,3032.80,55.17,794.75
unit-6,120,3032.80,55.17,794.75
unit-6,125,3032.80,55.18,794.75
unit-6,130,3032.80,55.19,794.75
unit-6,135,3032.80,55.20,794.75
unit-6,140,3032.80,55.20,794.75
unit-6,145,3032.80,55.21,794.75
unit-6,150,3032.80,55.22,794.75
unit-6,155,3032.80,55.22,794.75
unit-6,160,3032.80,55.23,794.75
unit-6,165,3032.80,55.24,794.75
unit-6,170,3032.80,55.24,793.89
unit-6,175,3032.80,55.25,770.83
unit-6,180,3032.80,55.26,737.82
unit-6,185,3032.80,55.27,707.05
unit-6,190,3032.80,55.27,681.58
unit-6,195,3032.80,55.28,661.45
unit-6,200,3032.80,55.29,645.87
unit-6,205,3032.80,55.29,633.93
unit-6,210,3032.80,55.30,624.82
unit-6,215,3032.80,55.31,617.89
unit-6,220,3032.80,55.31,612.62
unit-6,225,3032.80,55.32,608.62
unit-6,230,3032.80,55.33,605.58
unit-6,235,3032.80,55.34,603.28
unit-6,240,3032.80,55.34,601.53
unit-6,245,3032.80,55.35,600.21
unit-6,250,3032.80,55.35,599.20
unit-6,255,3032.80,55.35,598.44
unit-6,260,3032.80,55.34,597.87
unit-6,265,3032.80,55.34,597.43
unit-6,270,3032.80,55.34,597.10
unit-6,275,3032.80,55.34,596.85
unit-6,280,3032.80,55.34,596.66
unit-6,285,3032.80,55.34,596.51
unit-6,290,3032.80,55.34,596.40
unit-6,295,3032.80,55.33,596.32
unit-6,300,3032.80,55.33,596.26
